#  ISBN  Other details
XXXXXXXXXX   Unarmed Victory by Bertrand Russell - Banned in India. Contains unflattering details of the 1962 Sino-India War.
068249948X   Understanding Islam through Hadis by Ram Swarup - Critique of political Islam
1579211755   The True Furqan - Al Saffee and Al Mahdee Mahdee Religious text Import into India prohibited on the grounds of threatening national security
1550282211   Soft Target: How the Indian Intelligence Service Penetrated Canada by Zuhair Kashmeri & Brian McAndrew - Investigative Journalism
0670825379    The Satanic Verses by Salman Rushdie - Novel - alleged blasphemy against Islam
XXXXXXXXXX   Rangila Rasul by Pt. Chamupati - Religious 
XXXXXXXXXX   Nine Hours To Rama by Stanley Wolpert - It exposes persons responsible for security lapses that led to Mohandas Gandhi's assassination.
XXXXXXXXXX   Islam - A Concept of Political World Invasion by R. V. Bhasin - Political Ideology - promotes communal disharmony between Hindus and Muslims
