#ISBN   #PRICE   #IMPRINT   #TITLE   #AUTHOR   #Description
9780140270389   4.99   PENGUIN CLASSICS   PENGUIN UK   Stephenson, Nea   OUT OF PRINT          BCK OP
9780140270501   200   PENGUIN   PENGUIN INDIA   Bhattacharya, Nalinaksha   NO RIGHTS             BCK NR
9780140270518   295   PENGUIN   PENGUIN INDIA   Tharoor, Shashi   OUT OF PRINT          BCK OP
9780140270525   250   PENGUIN   PENGUIN INDIA   Ghosh, Sumati   NO RIGHTS             BCK NR
9780140270563   6.3   PENGUIN   PENGUIN UK   Freely, John   OUT OF PRINT          BCK OP
9780140270716   3.25   PENGUIN   PENGUIN UK   Collins, Wilkie   OUT OF PRINT          BCK OP
9780140270938   4.99   PENGUIN   PENGUIN UK   Bareham, Lindse   NO RIGHTS             BCK NR
9780140271164   250   PENGUIN   PENGUIN INDIA   Bhatia, Gautam   NO RIGHTS             BCK NR
9780140271188   200   PENGUIN   PENGUIN INDIA   Warrier, Shashi   NO RIGHTS             BCK NR
9780140271195   250   PENGUIN   PENGUIN INDIA   Iyer, Pico   NO RIGHTS             BCK NR
9780140271270   4.99   PENGUIN   PENGUIN UK   Mortimer, John   OUT OF PRINT          BCK OP
9780140271294   4.5   PENGUIN   PENGUIN UK   French, Nicci   OUT OF PRINT          BCK OP
9780140271300   4.99   PENGUIN   PENGUIN UK   Bellow,  Saul   OUT OF PRINT          BCK OP
9780140271409   450   PENGUIN   PENGUIN INDIA   Ribeiro, J. F.   OUT OF PRINT          BCK OP
9780140271423   2.99   PENGUIN   PENGUIN UK   Updike, John   OUT OF PRINT          BCK OP
9780140271430   5.6   PENGUIN   PENGUIN UK   Updike, John   OUT OF PRINT          BCK OP
9780140271577   6.3   PENGUIN   PENGUIN UK   Courtenay, Bryce   OUT OF PRINT          BCK OP
9780140271782   3.99   PENGUIN   PENGUIN UK   Ridpath, Michael   OUT OF PRINT          BCK OP
9780140271997   4.99   PENGUIN   PENGUIN UK   Wallace, R   OUT OF PRINT          BCK OP
9780140272017   12   PENGUIN   PENGUIN USA   Chaikin, Andrew   OUT OF PRINT          BCK OP
9780140272185   200   PENGUIN   PENGUIN INDIA   Ramakrishnan, Malayatoor   NO RIGHTS             BCK NR
9780140272192   6.99   PENGUIN   PENGUIN UK   Fenton, James   NO RIGHTS             BCK NR
9780140272208   5.99   PENGUIN   PENGUIN UK   Mather & Boslo   OUT OF PRINT          BCK OP
9780140272239   299   PENGUIN   PENGUIN UK   Pearse, Lesley   OUT OF PRINT          BCK OP
9780140272246   95   PENGUIN   PENGUIN INDIA   Mabey, Juliet   NO RIGHTS             BCK NR
9780140272581   250   PENGUIN   PENGUIN INDIA   Desai, Kiran   NO RIGHTS             BCK NR
9780140272673   1   PENGUIN   PENGUIN UK   Wilson, Paul   OUT OF PRINT          BCK OP
0140272674   75   PENGUIN   PENGUIN INDIA   Wilson, Paul   NOT AVL FOR BILLING   BCK NAB
9780140272765   1.75   PENGUIN   PENGUIN UK   Sach, P   OUT OF PRINT          BCK OP
0140272763   78   PENGUIN   PENGUIN INDIA   Sach, Penelope   NOT AVL FOR BILLING   BCK NAB
9780140272840   10.5   PENGUIN   PENGUIN UK   Sheridan, Alan   OUT OF PRINT          BCK OP
9780140272918   5.6   PENGUIN   PENGUIN UK   Courtenay, Bryce   OUT OF PRINT          BCK OP
9780140272925   5.6   PENGUIN   PENGUIN UK   Courtenay, Bryce   OUT OF PRINT          BCK OP
9780140272932   5.6   PENGUIN   PENGUIN UK   Courtenay, Bryce   OUT OF PRINT          BCK OP
0140272954   250   PENGUIN   PENGUIN INDIA   Ramanujan, A. K.   OUT OF PRINT          BCK OP
9780140273007   5.6   PENG TCC CLASSICS   PENGUIN UK   Carson, Rachel   OUT OF PRINT          BCK OP
9780140273182   3.99   PENGUIN   PENGUIN UK   Bellow,  Saul   OUT OF PRINT          BCK OP
9780140273359   4.99   PENGUIN   PENGUIN UK   Higgins, Jack   OUT OF PRINT          BCK OP
9780140273366   4.5   PENGUIN   PENGUIN UK   Higgins, Jack   OUT OF PRINT          BCK OP
9780140273403   4.99   PENGUIN   PENGUIN UK   Higgins, Jack   OUT OF PRINT          BCK OP
9780140273427   5.6   PENGUIN   PENGUIN UK   Higgins, Jack   OUT OF PRINT          BCK OP
9780140273434   3.99   PENGUIN   PENGUIN UK   Higgins, Jack   OUT OF PRINT          BCK OP
9780140273649   4.99   PENGUIN   PENGUIN UK   Moore, Lucy   OUT OF PRINT          BCK OP
9780140273656   5.6   PENGUIN   PENGUIN UK   Courtenay, Bryce   OUT OF PRINT          BCK OP
9780140273717   5.99   PENGUIN   PENGUIN UK   Carson, Rachel   OUT OF PRINT          BCK OP
9780140273854   5.6   PENGUIN   PENGUIN UK   Crystal, David   NO RIGHTS             BCK NR
9780140273915   5.99   PENGUIN   PENGUIN UK   Dobyns, Stephen   NO RIGHTS             BCK NR
9780140273939   5.6   PENGUIN   PENGUIN UK   Clancy, Tom   OUT OF PRINT          BCK OP
9780140274172   6.3   HAMISH HAMILTON   PENGUIN UK   Camus, Albert   OUT OF PRINT          BCK OP
9780140274189   295   PENGUIN   PENGUIN UK   Capote, Truman   OUT OF PRINT          BCK OP
9780140274226   4.99   PENGUIN   PENGUIN UK   Conrad , Joseph   OUT OF PRINT          BCK OP
9780140274288   4.2   PENGUIN   PENGUIN UK   Greene, Graham   NO RIGHTS             BCK NR
9780140274332   22   PENGUIN   PENGUIN USA   Solt, Andrew And Egan, Sam   OUT OF PRINT          BCK OP
9780140274356   8.95   PENGUIN   PENGUIN USA   Drumm, Russell   OUT OF PRINT          BCK OP
9780140274400   4.99   PENGUIN   PENGUIN UK   Sisman, Robyn   NO RIGHTS             BCK NR
9780140274592   4.99   PENGUIN   PENGUIN UK   Read, Miss   OUT OF PRINT          BCK OP
9780140274608   2.99   PENGUIN   PENGUIN UK   Crace, Jim   NO RIGHTS             BCK NR
9780140274684   4.99   PENGUIN   PENGUIN UK   James, P D   OUT OF PRINT          BCK OP
9780140274875   295   PENGUIN   PENGUIN INDIA   Krohnen, Michael   NO RIGHTS             BCK NR
9780140274912   4.99   PENGUIN   PENGUIN UK   Trapido, Barbara   OUT OF PRINT          BCK OP
9780140275148   17   PENGUIN   PENGUIN USA   Moorehead, Alan   OUT OF PRINT          BCK OP
9780140275278   8.99   PENGUIN CLASSICS   PENGUIN UK   Silvester, Christopher   OUT OF PRINT          BCK OP
9780140275315   2.1   PENGUIN   PENGUIN UK   Hanger, Joan   OUT OF PRINT          BCK OP
0140275312   33.5   PENGUIN   PENGUIN INDIA   Joan, Hanger   NOT AVL FOR BILLING   BCK NAB
9780140275391   5.6   PENGUIN   PENGUIN UK   Flem, Lydia   OUT OF PRINT          BCK OP
9780140275414   10.5   PENGUIN   PENGUIN USA   Deutsch, David   NO RIGHTS             BCK NR
9780140275568   0   PENGUIN   PENGUIN USA      OUT OF PRINT          BCK OP
9780140275810   4.99   PENGUIN   PENGUIN UK   Grice, Gordon   NO RIGHTS             BCK NR
9780140275827   4.99   PENGUIN   PENGUIN UK   Gribbin, John   OUT OF PRINT          BCK OP
9780140275834   6.3   PENGUIN   PENGUIN UK   Lopez, Donald S   OUT OF PRINT          BCK OP
9780140275902   250   PENGUIN   PENGUIN INDIA   Ray, Satyajit   NO RIGHTS             BCK NR
9780140275940   8.99   PENGUIN   PENGUIN UK   Shannon, Richard   OUT OF PRINT          BCK OP
9780140276008   4.99   PENGUIN   PENGUIN UK   Crace, J   OUT OF PRINT          BCK OP
9780140276350   5.6   PENGUIN   PENGUIN UK   Feynman, Richard   OUT OF PRINT          BCK OP
9780140276435   9   PENGUIN   PENGUIN USA   Battle, Lois   OUT OF PRINT          BCK OP
9780140276503   200   PENGUIN   PENGUIN INDIA   Eddowes, John   NO RIGHTS             BCK NR
9780140276534   3.25   PENGUIN   PENGUIN UK   Taylor, A J P   OUT OF PRINT          BCK OP
9780140276589   295   PENGUIN   PENGUIN INDIA   Varma, P. K.   OUT OF PRINT          BCK OP
9780140276640   200   PENGUIN   PENGUIN INDIA   Dawkins, Richard   NO RIGHTS             BCK NR
9780140276855   10.5   PENGUIN   PENGUIN USA      OUT OF PRINT          BCK OP
9780140277029   2.99   PENGUIN   PENGUIN UK   Weir, Arabella   OUT OF PRINT          BCK OP
9780140277067   200   PENGUIN   PENGUIN INDIA   Chatterjee, Amal   NO RIGHTS             BCK NR
9780140277074   4.5   PENGUIN   PENGUIN UK   Brookner, Anita   OUT OF PRINT          BCK OP
9780140277203   4.99   PENGUIN   PENGUIN UK   Trevor, William   OUT OF PRINT          BCK OP
9780140277333   6.3   PENGUIN   PENGUIN UK   Vogel, Steven   OUT OF PRINT          BCK OP
9780140277364   4.2   PENGUIN   PENGUIN UK   Roget, Peter   OUT OF PRINT          BCK OP
0140277447   9.95   PENGUIN   PENGUIN USA   Chang, Iris   NOT AVL FOR BILLING   BCK NAB
9780140277456   9   PENGUIN   PENGUIN USA   Guninness, Alec   OUT OF PRINT          BCK OP
9780140277500   3.25   PENGUIN   PENGUIN UK   Perkin, John   OUT OF PRINT          BCK OP
9780140277517   3.25   PENGUIN   PENGUIN UK   Perkin, John   OUT OF PRINT          BCK OP
9780140277524   6.5   PENGUIN   PENGUIN UK   Warburton   OUT OF PRINT          BCK OP
9780140277630   5.6   PENGUIN   PENGUIN UK   Carr, A   OUT OF PRINT          BCK OP
9780140277784   6.99   PENGUIN   PENGUIN UK   Joseph, George   OUT OF PRINT          BCK OP
9780140277814   7.99   PENGUIN   PENGUIN UK   Oliver, Jamie   OUT OF PRINT          BCK OP
9780140277982   10.5   PENGUIN   PENGUIN USA   Greenwald J   OUT OF PRINT          BCK OP
9780140277999   10.99   PENGUIN   PENGUIN USA   Fox Micols   OUT OF PRINT          BCK OP
9780140278026   10.5   PENGUIN   PENGUIN USA   Bosker & Lencek   OUT OF PRINT          BCK OP
9780140278057   250   PENGUIN   PENGUIN INDIA   Nimrit, Handa   TEMP WITHDRAWN      Y BCK WS
0140278072   0   PENGUIN   PENGUIN UK   Perkin, John   OUT OF PRINT          BCK OP
9780140278118   250   PENGUIN   PENGUIN INDIA   Chatterjee, Upamanyu   NO RIGHTS             BCK NR
9780140278125   250   PENGUIN   PENGUIN INDIA   Mistry, Rohinton   NO RIGHTS             BCK NR
9780140278132   250   PENGUIN   PENGUIN INDIA   Mistry, Rohinton   NO RIGHTS             BCK NR
9780140278217   200   PENGUIN   PENGUIN INDIA   Ray, Satyajit   NO RIGHTS             BCK NR
9780140278224   250   PENGUIN   PENGUIN INDIA   Valicha, Kishore   NO RIGHTS             BCK NR
9780140278231   295   PENGUIN   PENGUIN INDIA   Das, Gurcharan   OUT OF PRINT          BCK OP
9780140278248   250   PENGUIN   PENGUIN INDIA   Anand   NO RIGHTS             BCK NR
9780140278255   295   PENGUIN   PENGUIN INDIA   Chandra, Bipan   OUT OF PRINT          BCK OP
9780140278262   250   PENGUIN   PENGUIN INDIA   Menon, Vivek   NO RIGHTS             BCK NR
9780140278279   6.3   PENGUIN   PENGUIN UK   Updike, John   OUT OF PRINT          BCK OP
9780140278392   200   PENGUIN   PENGUIN INDIA   Hoshang, Merchant   OUT OF PRINT          BCK OP
9780140278408   295   PENGUIN   PENGUIN INDIA   Makarand, Paranjape   OUT OF PRINT          BCK OP
9780140278453   250   PENGUIN   PENGUIN INDIA   Bam, Dilip   NO RIGHTS             BCK NR
9780140278460   295   PENGUIN   PENGUIN INDIA   Joshi, Manoj   NO RIGHTS             BCK NR
9780140278514   350   PENGUIN   PENGUIN UK   Camus, Albert   OUT OF PRINT          BCK OP
9780140278545   250   PENGUIN   PENGUIN INDIA   Betty, L. S.   NO RIGHTS             BCK NR
9780140278590   250   PENGUIN   PENGUIN INDIA   Kumar, Arun   OUT OF PRINT          BCK OP
9780140278606   295   PENGUIN   PENGUIN INDIA   Billimoria, Frenny   NO RIGHTS             BCK NR
9780140278620   250   PENGUIN   PENGUIN INDIA   Kapur, Manju   NO RIGHTS             BCK NR
9780140278729   3.99   PENGUIN   PENGUIN UK   Lee, Laurie   OUT OF PRINT          BCK OP
9780140278736   199   PENGUIN   PENGUIN UK   Orwell, George   OUT OF PRINT          BCK OP
9780140278750   3.25   PENGUIN   PENGUIN UK   Greene, Graham   NO RIGHTS             BCK NR
9780140278767   5.6   PENGUIN   PENGUIN UK   Marquez, Gabriel Garcia   OUT OF PRINT          BCK OP
9780140278774   5.6   PENGUIN   PENGUIN UK   Orwell, George   OUT OF PRINT          BCK OP
9780140278903   295   PENGUIN   PENGUIN INDIA   Sivanandan, A.   NO RIGHTS             BCK NR
9780140278965   5.6   PENGUIN   PENGUIN UK   Gallmann, Kuki   OUT OF PRINT          BCK OP
9780140279016   1   PENGUIN   PENGUIN UK   Wilson, Paul   OUT OF PRINT          BCK OP
0140279016   78   PENGUIN   PENGUIN AUSTRALIA   Wilson Paul   OUT OF PRINT          BCK OP
0140279016   78   PENGUIN   PENGUIN INDIA   Willson, Paul   NOT AVL FOR BILLING   BCK NAB
9780140279054   6.3   PENGUIN   PENGUIN UK   Cathcart, Brian   OUT OF PRINT          BCK OP
9780140279061   5.6   PENGUIN   PENGUIN UK   Cathcart, Brian   OUT OF PRINT          BCK OP
9780140279108   4.99   PENGUIN   PENGUIN UK   Sutcliffe, William   OUT OF PRINT          BCK OP
9780140279177   250   PENGUIN   PENGUIN INDIA   Desani, G. V.   TEMP WITHDRAWN      Y BCK WS
9780140279184   200   PENGUIN   PENGUIN INDIA   Desani, G. V.   TEMP WITHDRAWN      Y BCK WS
9780140279221   250   PENGUIN   PENGUIN INDIA   Rangle, Ribeiro Victor   NO RIGHTS             BCK NR
9780140279245   3.99   PENGUIN   PENGUIN UK   Clancy, Tom   OUT OF PRINT          BCK OP
9780140279252   5.6   PENGUIN   PENGUIN UK   Clancy, Tom   OUT OF PRINT          BCK OP
9780140279269   5.6   PENGUIN   PENGUIN UK   Clancy, Tom   OUT OF PRINT          BCK OP
9780140279351   350   PENGUIN   PENGUIN INDIA   Naipaul, V. S.   OUT OF PRINT          BCK OP
9780140279382   695   COLOUR CRAFT   COLOURCRAFT      OUT OF PRINT          BCK OP
9780140279399   695   COLOUR CRAFT   COLOURCRAFT      OUT OF PRINT          BCK OP
9780140279436   6.3   PENGUIN   PENGUIN UK   Kaplan, R   OUT OF PRINT          BCK OP
9780140279443   350   PENGUIN   PENGUIN UK   Boyd, William   OUT OF PRINT          BCK OP
9780140279504   5.99   PENGUIN   PENGUIN UK   Barondes   OUT OF PRINT          BCK OP
9780140279535   6.99   PENGUIN   PENGUIN UK   Mitchell, Julie   OUT OF PRINT          BCK OP
9780140279658   2.99   PENGUIN   PENGUIN UK   Boyd, William   OUT OF PRINT          BCK OP
9780140279733   9.75   PENGUIN   PENGUIN USA   Hoeg Peter   OUT OF PRINT          BCK OP
9780140279849   2.99   PENGUIN   PENGUIN UK   Vine, Barbara   OUT OF PRINT          BCK OP
9780140279856   2.99   PENGUIN   PENGUIN UK   Kerr, Philip   OUT OF PRINT          BCK OP
9780140279986   2.99   PENGUIN   PENGUIN UK   Lodge, D   OUT OF PRINT          BCK OP
9780140280050   2.1   PENGUIN   PENGUIN UK   Gribbin, John   OUT OF PRINT          BCK OP
9780140280098   10   PENGUIN   PENGUIN USA      OUT OF PRINT          BCK OP
9780140280173   5.99   PENGUIN   PENGUIN USA      NOT AVL FOR BILLING   BCK NAB
0140280170   5.99   PENGUIN   PENGUIN UK   Crews, Frederic   NOT AVL FOR BILLING   BCK NAB
9780140280319   5.6   PENGUIN   PENGUIN UK   Higgins, Jack   OUT OF PRINT          BCK OP
0140280405   8.99   PENGUIN   PENGUIN USA   Forrest, Derek   NOT AVL FOR BILLING   BCK NAB
9780140280449   4.99   PENGUIN   PENGUIN UK   Kolakowski, Les   OUT OF PRINT          BCK OP
9780140280524   3.99   PENGUIN   PENGUIN USA   Fyfield, F   OUT OF PRINT          BCK OP
9780140280692   1   PENGUIN   PENGUIN UK   Wilson, Paul   OUT OF PRINT          BCK OP
0140280693   33.5   PENGUIN   PENGUIN INDIA   Paul, Wilson   NOT AVL FOR BILLING   BCK NAB
9780140280708   9.1   PENGUIN   PENGUIN UK   Wilson, Paul   OUT OF PRINT          BCK OP
9780140280951   5.6   PENGUIN   PENGUIN UK   Sisman, Robyn   NO RIGHTS             BCK NR
9780140281019   95   PENGUIN   PENGUIN INDIA   Paul, Hanna   NO RIGHTS             BCK NR
9780140281071   4.5   PENGUIN   PENGUIN UK   French, Nicci   OUT OF PRINT          BCK OP
9780140281101   5.6   PENGUIN   PENGUIN UK   Theroux,  Paul   OUT OF PRINT          BCK OP
9780140281132   8.95   PENGUIN   PENGUIN USA   Marable, Manning   OUT OF PRINT          BCK OP
9780140281163   2.99   PENGUIN   PENGUIN UK   Wodehouse, P G   NO RIGHTS             BCK NR
9780140281170   2.99   PENGUIN   PENGUIN UK   Wodehouse, P G   NO RIGHTS             BCK NR
9780140281187   2.99   PENGUIN   PENGUIN UK   Wodehouse, P G   NO RIGHTS             BCK NR
9780140281200   2.99   PENGUIN   PENGUIN UK   Wodehouse, P G   NO RIGHTS             BCK NR
9780140281330   4.99   PENGUIN   PENGUIN UK   Laurimore, J   OUT OF PRINT          BCK OP
9780140281705   7.75   PENGUIN   PENGUIN UK   Wodehouse, P G   NO RIGHTS             BCK NR
9780140281767   6.3   PENGUIN   PENGUIN UK   Wolf, Michael   OUT OF PRINT          BCK OP
9780140281798   5.6   PENGUIN   PENGUIN UK   Paulos, John   OUT OF PRINT          BCK OP
9780140281811   200   PENGUIN   PENGUIN INDIA   Shamsie, Kamila   NO RIGHTS             BCK NR
9780140281828   250   PENGUIN   PENGUIN INDIA   Mootoo, Shani   NO RIGHTS             BCK NR
9780140281835   6.3   PENGUIN   PENGUIN UK   Shlain, Leonard   OUT OF PRINT          BCK OP
9780140281897   3.25   PENGUIN   PENGUIN UK   Sach, Penelope   OUT OF PRINT          BCK OP
9780140281903   7.99   PENGUIN   PENGUIN USA   Trapido, B   OUT OF PRINT          BCK OP
9780140281910   10   PENGUIN   PENGUIN USA   Shell, G. Richard   OUT OF PRINT          BCK OP
9780140282061   200   PENGUIN   PENGUIN INDIA   Laxman, R. K.   OUT OF PRINT          BCK OP
9780140282078   5.6   PENGUIN   PENGUIN UK   Heller, Z   OUT OF PRINT          BCK OP
9780140282122   200   PENGUIN   PENGUIN INDIA   Gokhale, Namita   OUT OF PRINT          BCK OP
9780140282139   200   PENGUIN   PENGUIN INDIA   Lala, R. M.   NO RIGHTS             BCK NR
9780140282184   4.99   PENGUIN   PENGUIN UK   Boyd, William   OUT OF PRINT          BCK OP
9780140282207   4.99   PENGUIN   PENGUIN UK   Trevor, William   OUT OF PRINT          BCK OP
9780140282269   4.2   PENGUIN   PENGUIN UK   Davies, Paul   OUT OF PRINT          BCK OP
9780140282375   5.6   PENGUIN   PENGUIN UK   Wilson, Paul   OUT OF PRINT          BCK OP
9780140282399   6.3   PENGUIN   PENGUIN UK   Dunnett, D   OUT OF PRINT          BCK OP
9780140282405   6.3   PENGUIN   PENGUIN UK   Dunnett, D   OUT OF PRINT          BCK OP
9780140282504   4.99   PENGUIN   PENGUIN UK   Burton, S   OUT OF PRINT          BCK OP
9780140282627   4.99   PENGUIN   PENGUIN UK   Buchan, Johan   OUT OF PRINT          BCK OP
9780140282641   2.99   PENGUIN   PENGUIN UK   Kipling, Rudyard   OUT OF PRINT          BCK OP
9780140282672   5.6   PENGUIN   PENGUIN UK   Roth, Philip   OUT OF PRINT          BCK OP
9780140282702   4.2   PENGUIN   PENGUIN UK   Alain - Fournier   OUT OF PRINT          BCK OP
9780140282887   4.99   PENGUIN   PENGUIN UK   Mortimer, John   OUT OF PRINT          BCK OP
9780140282917   4.99   PENGUIN   PENGUIN UK   Nicholson, Joy   OUT OF PRINT          BCK OP
9780140282931   3.99   PENGUIN   PENGUIN UK   Barker, Pat   OUT OF PRINT          BCK OP
9780140282955   3.99   PENGUIN   PENGUIN UK   Theroux,  Paul   OUT OF PRINT          BCK OP
9780140282993   250   PENGUIN   PENGUIN INDIA   Roy, Bhattacharya   NO RIGHTS             BCK NR
9780140283006   250   PENGUIN   PENGUIN INDIA   Schell, Jonathan   NO RIGHTS             BCK NR
9780140283013   200   PENGUIN   PENGUIN INDIA   Mukundan, Monisha   NO RIGHTS             BCK NR
9780140283037   295   PENGUIN   PENGUIN INDIA   Krishnan, P. A.   NO RIGHTS             BCK NR
9780140283112   12   VIKING   PENGUIN UK   Gates, Bill   OUT OF PRINT          BCK OP
9780140283136   10.5   PENGUIN   PENGUIN UK   Buchholz, T G   OUT OF PRINT          BCK OP
9780140283143   250   PENGUIN   PENGUIN INDIA   Chand, Meira   NO RIGHTS             BCK NR
9780140283150   599   PENGUIN   PENGUIN INDIA   Blank, Jonah   TEMP WITHDRAWN      Y BCK WS
9780140283181   650   PENGUIN   PENGUIN UK   Ash, Timothy   OUT OF PRINT          BCK OP
9780140283358   9   PENGUIN   PENGUIN USA   Coetzee, J. M.   NO RIGHTS             BCK NR
9780140283389   15   PENGUIN   PENGUIN USA   Pynchon, Thomas   OUT OF PRINT          BCK OP
9780140283419   250   PENGUIN   PENGUIN INDIA   Anand, Anita   NO RIGHTS             BCK NR
9780140283587   6.5   PENGUIN   PENGUIN USA      OUT OF PRINT          BCK OP
9780140283624   10   PENGUIN   PENGUIN USA      OUT OF PRINT          BCK OP
9780140283686   4.2   PENGUIN   PENGUIN UK   Sutcliffe, William   OUT OF PRINT          BCK OP
9780140283693   4.99   PENGUIN   PENGUIN UK   Sutcliffe, William   OUT OF PRINT          BCK OP
9780140283730   4.99   PENGUIN   PENGUIN UK   Mayle, Peter   OUT OF PRINT          BCK OP
9780140283785   499   PENGUIN   PENGUIN UK   Gribbin, John   OUT OF PRINT          BCK OP
9780140283846   3.99   PENGUIN   PENGUIN UK   Dawkins, Richard   OUT OF PRINT          BCK OP
9780140283853   3.99   PENGUIN   PENGUIN UK   Grice, Gordon   NO RIGHTS             BCK NR
9780140283860   3.99   PENGUIN   PENGUIN UK   Stewart, Ian   OUT OF PRINT          BCK OP
9780140283884   3.99   PENGUIN   PENGUIN UK   Breitman, Richard   OUT OF PRINT          BCK OP
9780140283983   395   PENGUIN   PENGUIN INDIA   Zeldin, Theodore   NO RIGHTS             BCK NR
9780140284072   4.99   PENGUIN   PENGUIN UK   Wodehouse, P G   NO RIGHTS             BCK NR
9780140284089   2.99   PENGUIN   PENGUIN UK   Wodehouse, P G   NO RIGHTS             BCK NR
9780140284096   2.99   PENGUIN   PENGUIN UK   Wodehouse, P G   NO RIGHTS             BCK NR
9780140284102   2.99   PENGUIN   PENGUIN UK   Wodehouse, P G   NO RIGHTS             BCK NR
9780140284126   2.99   PENGUIN   PENGUIN UK   Wodehouse, P G   NO RIGHTS             BCK NR
9780140284140   5.6   PENGUIN   PENGUIN UK   Strathern, Paul   OUT OF PRINT          BCK OP
9780140284157   4.5   PENGUIN   PENGUIN UK   Brookner, Anita   OUT OF PRINT          BCK OP
9780140284249   6.5   PENGUIN   PENGUIN UK   Grigg, John   NO RIGHTS             BCK NR
9780140284256   6.99   PENGUIN   PENGUIN UK   Grigg, John   NO RIGHTS             BCK NR
9780140284270   11.25   PENGUIN   PENGUIN UK   Grigg, John   NO RIGHTS             BCK NR
9780140284300   2.8   PENGUIN   PENGUIN UK   Dickens, Charles   OUT OF PRINT          BCK OP
9780140284348   200   PENGUIN   PENGUIN INDIA   Pradeep, Magazine   OUT OF PRINT          BCK OP
9780140284508   13.5   PENGUIN   PENGUIN UK   Feynman, Richard   OUT OF PRINT          BCK OP
9780140284515   13.5   PENGUIN   PENGUIN UK   Feynman, Richard   OUT OF PRINT          BCK OP
9780140284614   2.99   PENGUIN   PENGUIN UK   Wodehouse, P G   NO RIGHTS             BCK NR
9780140284621   2.99   PENGUIN   PENGUIN UK   Wodehouse, P G   NO RIGHTS             BCK NR
9780140284645   2.99   PENGUIN   PENGUIN UK   Wodehouse, P G   NO RIGHTS             BCK NR
9780140284652   2.99   PENGUIN   PENGUIN UK   Wodehouse, P G   NO RIGHTS             BCK NR
9780140284669   10   PENGUIN   PENGUIN USA   Charwin Kim   OUT OF PRINT          BCK OP
9780140284690   7.75   PENGUIN   PENGUIN UK   Wodehouse, P G   NO RIGHTS             BCK NR
9780140284720   225   PENGUIN   PENGUIN INDIA   Lokuge, Chandani   NO RIGHTS             BCK NR
9780140284935   7.75   PENGUIN   PENGUIN UK   Hibbert, Christopher   NO RIGHTS             BCK NR
9780140284942   5.99   PENGUIN   PENGUIN UK   Leggett, Jeremy   OUT OF PRINT          BCK OP
9780140284959   4.99   PENGUIN   PENGUIN UK   Hale, Sheila   OUT OF PRINT          BCK OP
9780140285093   395   PENGUIN   PENGUIN INDIA   Sharma, Asha   NO RIGHTS             BCK NR
9780140285116   200   PENGUIN   PENGUIN INDIA   Chandrasekhar, Kambar   NO RIGHTS             BCK NR
9780140285147   5.6   PENGUIN   PENGUIN UK   Eco, Umberto   OUT OF PRINT          BCK OP
9780140285154   5.6   PENGUIN   PENGUIN UK   Kaye, M M   NO RIGHTS             BCK NR
9780140285222   250   PENGUIN   PENGUIN INDIA   Gunesekera, Romesh   OUT OF PRINT          BCK OP
9780140285239   200   PENGUIN   PENGUIN INDIA   Mankekar, D. R.   NO RIGHTS             BCK NR
9780140285260   1.25   PENGUIN   PENGUIN UK   Wilson, Paul   OUT OF PRINT          BCK OP
0140285261   75   PENGUIN   PENGUIN INDIA   Paul, Wilson   NOT AVL FOR BILLING   BCK NAB
9780140285277   1.75   PENGUIN   PENGUIN UK   Wilson, Paul   OUT OF PRINT          BCK OP
9780140285307   6.99   PENGUIN   PENGUIN UK   Overy & Wheat   NO RIGHTS             BCK NR
9780140285376   9.1   PENGUIN   PENGUIN UK   Roberts, Philip   OUT OF PRINT          BCK OP
9780140285536   5.6   PENGUIN   PENGUIN UK   Wyndham, John   OUT OF PRINT          BCK OP
9780140285581   3.99   PENGUIN   PENGUIN UK   Webb, Charles   OUT OF PRINT          BCK OP
9780140285666   3.99   PENGUIN   PENGUIN UK   Morrison, Toni   OUT OF PRINT          BCK OP
9780140285710   295   PENGUIN   PENGUIN INDIA   Tahir, Shah   NO RIGHTS             BCK NR
9780140285727   250   PENGUIN   PENGUIN INDIA   Easwaran, Eknath   NO RIGHTS             BCK NR
9780140286083   2.1   PENGUIN   PENGUIN UK   Sach Penelope   OUT OF PRINT          BCK OP
9780140286298   475   PENGUIN   PENGUIN INDIA   Verghese, Abraham   NO RIGHTS             BCK NR
9780140286625   14   PENGUIN   PENGUIN USA   Ferguson Niall   NOT AVL FOR BILLING   BCK NAB
0140286624   10.5   PENGUIN   PENGUIN UK   Ferguson, Niall   OUT OF PRINT          BCK OP
9780140286687   6.3   PENGUIN   PENGUIN UK   Augar, P   OUT OF PRINT          BCK OP
9780140286762   9.95   PENGUIN   PENGUIN USA   Ellis Richard   OUT OF PRINT          BCK OP
9780140286779   9.5   PENGUIN   PENGUIN USA   Gray F D   OUT OF PRINT          BCK OP
9780140286786   9.99   PENGUIN   PENGUIN USA   Dominguez, Joe; Robin, Vicki   OUT OF PRINT          BCK OP
9780140286847   9.1   PENGUIN   PENGUIN UK   Schwartz, Evan   OUT OF PRINT          BCK OP
9780140286854   6.3   PENGUIN   PENGUIN UK   Krugman, Paul   OUT OF PRINT          BCK OP
9780140286908   9.95   PENGUIN   PENGUIN USA   Panati Charles   OUT OF PRINT          BCK OP
9780140286977   4.5   PENGUIN   PENGUIN UK   Turow, Scott   OUT OF PRINT          BCK OP
9780140287097   250   PENGUIN   PENGUIN INDIA   Krishnan, Ramananthan & Krishnan, Ramesh   OUT OF PRINT          BCK OP
